k,alpha,accuracy,time
50,25,58.0488,0.156919
50,30,59.0244,0.252149
50,35,59.2683,0.222185
50,40,59.5122,0.230781
50,45,59.0244,0.282026
50,50,59.2683,0.309777
50,55,59.7561,0.292231
50,60,59.0244,0.323829
50,65,58.7805,0.365558
50,70,58.7805,0.41929
50,75,57.8049,0.391043
50,80,57.0732,0.413248
50,85,56.8293,0.468965
50,90,56.5854,0.503054
50,95,56.5854,0.49582
50,100,56.8293,0.493879
55,5,39.0244,0.0734691
55,10,46.8293,0.091041
55,15,51.7073,0.113309
55,20,54.3902,0.138494
55,25,55.8537,0.160108
55,30,56.3415,0.187764
55,35,56.3415,0.223974
55,40,56.3415,0.23562
55,45,56.0976,0.279289
55,50,56.8293,0.293013
55,55,55.8537,0.294942
55,60,54.878,0.340168
55,65,53.6585,0.363982
55,70,55.122,0.384483
55,75,55.3659,0.390256
55,80,55.3659,0.399517
55,85,54.3902,0.461458
55,90,54.6341,0.50883
55,95,54.6341,0.507292
55,100,54.1463,0.514654
60,5,37.0732,0.0702115
60,10,42.6829,0.091211
60,15,48.0488,0.114075
60,20,52.6829,0.141001
60,25,52.439,0.160953
60,30,52.1951,0.202748
60,35,52.1951,0.241912
60,40,52.9268,0.243269
60,45,53.9024,0.272221
60,50,53.4146,0.297484
60,55,52.9268,0.29594
60,60,53.4146,0.325599
60,65,51.4634,0.364007
60,70,51.2195,0.393596
60,75,50.9756,0.387396
60,80,51.7073,0.409625
60,85,50.2439,0.471431
60,90,50,0.498504
60,95,50.4878,0.479022
60,100,50.2439,0.490241
65,5,35.8537,0.0707607
65,10,41.7073,0.0968265
65,15,45.6098,0.110582
65,20,50,0.137794
65,25,48.5366,0.158003
65,30,49.7561,0.182905
65,35,49.7561,0.215695
65,40,50.7317,0.23355
65,45,51.2195,0.270753
65,50,50.4878,0.308868
65,55,49.2683,0.294257
65,60,49.2683,0.334608
65,65,48.7805,0.377242
65,70,48.2927,0.38871
65,75,48.2927,0.399054
65,80,48.7805,0.411751
65,85,47.8049,0.487128
65,90,47.8049,0.499462
65,95,47.3171,0.58096
65,100,47.0732,0.546809
70,5,34.1463,0.0703126
70,10,39.5122,0.0920083
70,15,41.7073,0.10922
70,20,47.0732,0.139909
70,25,46.8293,0.177871
70,30,46.0976,0.181617
70,35,48.0488,0.219954
70,40,47.0732,0.248371
70,45,47.0732,0.275716
70,50,47.561,0.296853
70,55,46.3415,0.306443
70,60,47.0732,0.333167
70,65,46.8293,0.379339
70,70,46.0976,0.390502
70,75,46.0976,0.384738
70,80,47.3171,0.399127
70,85,46.8293,0.464732
70,90,45.3659,0.503098
70,95,44.3902,0.504822
70,100,45.122,0.526161
75,5,31.7073,0.0707411
75,10,37.3171,0.0929276
75,15,39.2683,0.114531
75,20,43.4146,0.133087
75,25,42.9268,0.158666
75,30,42.439,0.199702
75,35,42.439,0.243029
75,40,42.9268,0.242249
75,45,42.9268,0.28117
75,50,43.6585,0.293917
75,55,43.9024,0.318526
75,60,44.3902,0.332324
75,65,43.6585,0.375961
75,70,43.4146,0.396398
75,75,42.1951,0.380879
75,80,42.439,0.413072
75,85,42.9268,0.490378
75,90,42.6829,0.510096
75,95,41.9512,0.496489
75,100,42.9268,0.510599
80,5,29.7561,0.0706605
80,10,34.3902,0.0921616
80,15,37.561,0.116674
80,20,40.7317,0.140156
80,25,40.9756,0.165849
80,30,39.7561,0.186121
80,35,40.9756,0.217498
80,40,40.7317,0.239815
80,45,40.7317,0.305286
80,50,41.2195,0.294575
80,55,40.4878,0.298235
80,60,40.9756,0.327525
80,65,41.2195,0.377933
80,70,41.7073,0.39239
80,75,40.9756,0.390078
80,80,41.4634,0.400868
80,85,41.4634,0.469989
80,90,40.2439,0.496693
80,95,39.5122,0.490121
80,100,40.7317,0.501651
85,5,29.2683,0.0700525
85,10,32.6829,0.0925576
85,15,36.3415,0.112398
85,20,38.2927,0.142822
85,25,39.0244,0.170393
85,30,36.8293,0.204746
85,35,38.5366,0.235539
85,40,38.7805,0.25413
85,45,38.7805,0.281982
85,50,37.8049,0.297808
85,55,38.5366,0.319619
85,60,38.5366,0.326835
85,65,39.2683,0.367939
85,70,39.5122,0.404952
85,75,40.4878,0.393076
85,80,39.7561,0.408752
85,85,40,0.475213
85,90,40,0.500965
85,95,39.0244,0.482147
85,100,39.0244,0.500986
90,5,25.8537,0.0806085
