k,alpha,accuracy,time
50,30,59.0244,0.468142
50,35,59.2683,0.54914
50,40,59.5122,0.608199
50,45,59.0244,0.780485
50,50,59.2683,0.791059
50,55,59.7561,0.784101
50,60,59.0244,0.924759
50,65,58.7805,1.01893
50,70,58.7805,0.98988
50,75,57.8049,0.966051
50,80,57.561,1.03388
50,85,56.8293,1.19543
50,90,56.8293,1.24114
50,95,56.5854,1.1862
50,100,56.8293,1.26009
55,5,39.0244,0.173301
55,10,46.8293,0.236427
55,15,51.7073,0.270268
55,20,54.3902,0.344777
55,25,55.8537,0.411917
55,30,56.3415,0.462699
55,35,56.3415,0.543776
55,40,56.3415,0.603434
55,45,55.8537,0.69398
55,50,56.8293,0.748057
55,55,55.8537,0.741133
55,60,54.6341,0.819254
55,65,53.6585,0.933848
55,70,55.122,0.994103
55,75,55.3659,0.985277
55,80,55.3659,1.00942
55,85,54.3902,1.18975
55,90,54.878,1.2418
55,95,54.878,1.44153
55,100,54.3902,1.25146
60,5,37.0732,0.177013
60,10,42.6829,0.232128
60,15,48.0488,0.267046
60,20,52.6829,0.341516
60,25,52.439,0.410126
60,30,52.1951,0.486646
60,35,52.1951,0.56562
60,40,52.9268,0.604425
60,45,53.9024,0.706645
60,50,53.4146,0.746193
60,55,52.9268,0.746717
60,60,53.4146,0.805054
60,65,51.4634,0.907798
60,70,51.2195,0.998688
60,75,50.9756,0.971778
60,80,51.4634,1.0244
60,85,50.2439,1.18683
60,90,50.2439,1.22944
60,95,50.4878,1.20062
60,100,50.2439,1.25662
65,5,35.8537,0.190341
65,10,41.7073,0.225951
65,15,45.6098,0.286865
65,20,50,0.340251
65,25,48.5366,0.425254
65,30,49.7561,0.481407
65,35,49.7561,0.561641
65,40,50.7317,0.605501
65,45,51.2195,0.704647
65,50,50.4878,0.753266
65,55,49.2683,0.757445
65,60,49.2683,0.838111
65,65,48.7805,0.93157
65,70,48.2927,0.98191
65,75,47.8049,0.991293
65,80,48.0488,1.00762
65,85,47.8049,1.20829
65,90,48.0488,1.24634
65,95,47.3171,1.41394
65,100,47.0732,1.27196
70,5,34.1463,0.182052
70,10,39.5122,0.234138
70,15,41.7073,0.287928
70,20,47.0732,0.338397
70,25,46.8293,0.418215
70,30,46.0976,0.478384
70,35,48.0488,0.568947
70,40,47.0732,0.611071
70,45,47.0732,0.696438
70,50,47.561,0.743842
70,55,46.3415,0.761184
70,60,47.0732,0.806121
70,65,46.8293,0.912051
70,70,46.0976,0.982234
70,75,47.0732,0.97098
70,80,46.5854,1.01373
70,85,46.8293,1.19911
70,90,45.122,1.26304
70,95,44.3902,1.26786
70,100,45.122,1.24735
75,5,31.7073,0.177319
75,10,37.3171,0.23373
75,15,39.2683,0.276593
75,20,43.4146,0.37199
75,25,42.9268,0.404743
75,30,42.439,0.458996
75,35,42.439,0.547189
75,40,42.9268,0.593446
75,45,42.9268,0.720014
75,50,43.6585,0.752202
75,55,43.6585,0.769658
75,60,44.3902,0.842116
75,65,43.6585,0.914682
75,70,43.4146,0.996926
75,75,42.439,0.975994
75,80,42.6829,1.02917
75,85,42.9268,1.19275
75,90,42.6829,1.28977
75,95,41.9512,1.49988
75,100,42.9268,1.2654
80,5,29.7561,0.181169
80,10,34.3902,0.226936
80,15,37.561,0.274102
80,20,40.7317,0.334226
80,25,40.9756,0.412448
80,30,39.7561,0.492927
80,35,40.9756,0.599368
80,40,40.7317,0.605257
80,45,40.7317,0.696449
80,50,41.2195,0.75903
80,55,40.7317,0.738296
80,60,40.9756,0.826633
80,65,41.2195,0.898605
80,70,41.7073,0.991591
80,75,40.7317,0.969008
80,80,41.7073,1.02968
80,85,41.4634,1.19516
80,90,40.2439,1.25872
80,95,39.5122,1.25162
80,100,40.7317,1.28187
85,5,29.2683,0.190665
85,10,32.6829,0.228989
85,15,36.3415,0.274219
85,20,38.2927,0.339372
85,25,39.0244,0.420386
85,30,36.8293,0.486897
85,35,38.5366,0.555904
85,40,38.7805,0.599415
85,45,38.7805,0.700475
85,50,37.8049,0.738852
85,55,38.5366,0.73794
85,60,38.5366,0.813267
85,65,39.2683,0.915923
85,70,39.5122,0.983774
85,75,40.4878,0.973257
85,80,39.7561,1.00854
85,85,40,1.18768
85,90,40,1.25624
85,95,39.0244,1.37156
85,100,39.2683,1.30412
90,5,25.8537,0.179238
90,10,30.7317,0.240976
90,15,33.9024,0.301551
90,20,36.5854,0.345534
90,25,37.3171,0.393562
90,30,34.878,0.476141
90,35,36.3415,0.569366
90,40,36.5854,0.611314
90,45,36.5854,0.707184
90,50,36.3415,0.730293
90,55,36.3415,0.755983
90,60,36.3415,0.808486
90,65,37.561,0.922669
90,70,36.8293,0.979057
90,75,37.561,0.986815
90,80,38.2927,1.1115
90,85,37.3171,1.22956
90,90,37.0732,1.28606
90,95,37.561,1.31955
90,100,36.8293,1.25211
95,5,23.6585,0.177294
95,10,28.0488,0.258847
95,15,33.4146,0.340645
95,20,34.1463,0.376821
95,25,35.122,0.398434
95,30,34.1463,0.463867
95,35,33.9024,0.537213
95,40,34.878,0.5867
95,45,34.6341,0.682436
95,50,34.1463,0.747079
95,55,33.9024,0.760061
95,60,33.6585,0.845141
95,65,33.6585,0.91598
95,70,34.1463,0.975153
95,75,33.6585,0.95743
95,80,33.6585,1.02423
95,85,33.4146,1.18687
95,90,33.4146,1.23342
95,95,32.6829,1.17713
95,100,32.9268,1.26367
100,5,20.9756,0.178195
100,10,26.8293,0.236265
100,15,30.4878,0.279434
100,20,31.9512,0.359765
100,25,34.1463,0.408742
100,30,33.1707,0.457999
100,35,33.4146,0.554218
100,40,33.4146,0.605014
100,45,32.6829,0.676967
100,50,32.439,0.75516
100,55,32.1951,0.754528
100,60,31.7073,0.79923
100,65,31.7073,0.913994
100,70,30.7317,0.977703
100,75,30.9756,0.971152
100,80,31.4634,1.00185
100,85,30.9756,1.19339
100,90,30.9756,1.23933
100,95,31.2195,1.23719
100,100,30.4878,1.2669
