k,accuracyProm,Tiempo
1,0.973171,48.2461
2,0.956098,48.2467
3,0.946341,48.0874
4,0.934146,48.2698
5,0.902439,48.1899
6,0.885366,48.2945
7,0.85122,48.3146
8,0.826829,48.2303
9,0.807317,48.3604
10,0.77561,48.2339
11,0.765854,48.3253
12,0.753659,48.3535
13,0.729268,48.1673
14,0.712195,48.2314
15,0.712195,48.2892
16,0.687805,48.3081
17,0.680488,48.178
18,0.673171,48.3718
19,0.660976,48.3714
20,0.656098,48.2608
21,0.653659,48.3493
22,0.646341,48.4078
23,0.64878,48.2499
24,0.639024,48.3784
25,0.639024,48.8668
26,0.631707,48.2973
27,0.619512,48.3179
28,0.609756,48.4706
29,0.602439,48.3411
30,0.585366,48.2783
31,0.582927,48.2676
32,0.57561,48.4442
33,0.573171,48.3862
34,0.563415,48.2876
35,0.556098,48.2983
36,0.546341,48.3118
37,0.546341,48.3505
38,0.541463,48.3014
39,0.546341,48.2838
40,0.526829,48.2745
41,0.509756,48.2988
42,0.497561,48.2732
43,0.490244,48.2028
44,0.478049,48.3506
45,0.468293,48.8077
46,0.458537,48.2783
47,0.453659,48.3844
48,0.453659,48.3187
49,0.446341,48.3421
50,0.436585,48.3226
51,0.431707,48.349
52,0.429268,48.2979
53,0.412195,48.3101
54,0.407317,48.2629
55,0.397561,48.2496
56,0.382927,48.3158
57,0.382927,48.2532
58,0.380488,48.2462
59,0.37561,48.3241
60,0.37561,48.3258
61,0.373171,48.3266
62,0.373171,48.318
63,0.368293,48.2254
64,0.360976,48.3771
65,0.358537,48.3043
66,0.356098,48.3125
67,0.34878,48.2093
68,0.341463,48.3808
69,0.343902,48.375
70,0.341463,48.3846
71,0.341463,48.4414
72,0.336585,48.3635
73,0.334146,48.2304
74,0.339024,48.2977
75,0.336585,48.4507
76,0.326829,48.3036
77,0.326829,48.3181
78,0.32439,48.3605
79,0.32439,48.3687
80,0.317073,48.3148
81,0.309756,48.2363
82,0.292683,48.3208
83,0.280488,48.3802
84,0.280488,48.323
85,0.273171,48.3582
86,0.268293,48.3202
87,0.258537,48.3779
88,0.256098,48.2864
89,0.25122,48.4109
90,0.24878,48.3766
91,0.24878,48.2909
92,0.243902,48.3243
93,0.241463,48.3703
94,0.239024,48.4278
95,0.236585,48.3066
96,0.234146,48.3819
97,0.229268,48.4208
98,0.226829,48.3471
99,0.221951,48.3449
