k,accuracyProm,Tiempo
1,0.919512,30.7793
2,0.919512,30.4244
3,0.880488,30.5
4,0.853659,30.4143
5,0.826829,30.4264
6,0.814634,30.8193
7,0.795122,30.7163
8,0.780488,30.4729
