Autovector, error
0,1.16334e+09
1,2.31083e+09
2,1.56145e+08
3,3.01316e+08
4,5.50024e+07
5,9.24647e+08
6,9.57022e+08
7,2.68501e+09
8,1.49373e+09
9,6.26519e+08
10,4.2615e+08
11,5.68719e+08
12,1.04817e+08
13,1.124e+08
14,1.68081e+08
15,1.54875e+08
16,2.56069e+08
17,1.11509e+08
18,5.03206e+07
19,2.14976e+07
20,2.20541e+07
21,2.78861e+07
22,2.28535e+07
23,3.52284e+07
24,1.93011e+07
25,3.43768e+07
26,2.76015e+07
27,1.74415e+07
28,3.78681e+07
29,3.69798e+07
30,2.28877e+07
31,3.65493e+07
32,2.75788e+07
33,2.43507e+07
34,3.73033e+07
35,3.99005e+07
36,2.68123e+07
37,3.46391e+07
38,2.23478e+07
39,1.60014e+07
40,1.30818e+07
41,3.22518e+07
42,2.45657e+07
43,1.57909e+07
44,1.1068e+07
45,1.00576e+07
46,1.53249e+07
47,8.87436e+06
48,1.4141e+07
49,9.70709e+06
50,1.22273e+07
51,1.19228e+07
52,7.97606e+06
53,1.17665e+07
54,7.65516e+06
55,8.05135e+06
56,6.90219e+06
57,8.33113e+06
58,1.18245e+07
59,3.91037e+06
60,1.06447e+07
61,4.35064e+06
62,1.02064e+07
63,7.61169e+06
64,7.82239e+06
65,7.02901e+06
66,5.76342e+06
67,4.65887e+06
68,5.17956e+06
69,4.93784e+06
70,4.86255e+06
71,3.51381e+06
72,3.71868e+06
73,5.00299e+06
74,4.40499e+06
75,3.22906e+06
76,3.72727e+06
77,5.56933e+06
78,3.11598e+06
79,3.07773e+06
80,4.53933e+06
81,3.69038e+06
82,3.37476e+06
83,4.81008e+06
84,2.81926e+06
85,5.84959e+06
86,4.93232e+06
87,2.67646e+06
88,3.09817e+06
89,3.14527e+06
90,1.72115e+06
91,2.82975e+06
92,4.03337e+06
93,2.52407e+06
94,1.76087e+06
95,1.59125e+06
96,2.33092e+06
97,3.15847e+06
98,2.0509e+06
99,2.22129e+06
