Autovector,Error
0,1.78301e-18
1,3.42147e-18
2,9.68056e-19
3,2.45218e-18
4,7.39612e-19
5,2.15099e-19
6,2.19443e-18
7,5.21179e-19
8,1.98834e-19
9,6.28974e-19
10,1.9509e-18
11,4.22703e-18
12,5.06425e-17
13,5.48821e-17
14,4.82243e-18
15,0.000207907
16,0.00021674
17,1.25423e-17
18,4.22655e-18
19,3.44568e-18
20,3.80861e-10
21,2.5736e-08
22,2.71669e-08
23,4.14367e-19
24,0.00131493
25,206.195
26,208.303
27,9.56254e-05
28,0.000101276
29,1.65485e-08
30,1.77833e-08
31,3.6005e-11
32,0.00173635
33,0.00181053
34,0.150934
35,0.157187
36,2.59564e-05
37,1.12019e-16
40,3.11652e-10
41,2.64734e-06
42,0.000798651
43,0.000824668
44,0.075311
45,0.0764443
46,10.5577
47,10.5925
48,70.4366
49,71.2792
50,1.2133e-06
51,1.05453e-06
52,3.43868e-08
53,0.000232443
54,27.2451
55,27.6818
56,13.4146
57,13.6915
58,1.12081e-06
59,0.0114697
60,0.0119202
61,8.92524e-05
62,34.4482
63,35.6662
64,21.7475
65,21.7148
66,0.034138
67,0.0349595
68,0.00019449
69,108.366
70,109.712
71,0.455809
72,48.6627
73,59.6115
74,11.5542
75,641.486
76,644.336
77,0.000105194
78,0.0122832
79,32.3033
80,44.2543
81,12.0898
82,0.306512
83,0.0373756
84,0.0286971
85,56.442
86,56.8708
87,0.00263117
88,0.00277079
89,2.89058
90,8.08696
91,5.35187
92,0.181688
93,0.497558
94,6.96626
95,8.44945
96,1.73534
97,0.172634
98,17.9887
99,18.6661
