Autovector, error
0,593128
1,1.13612e+06
2,1.19681e+06
3,1.923e+06
4,475344
5,152187
6,1.98634e+06
7,2.60848e+06
8,1.1016e+08
9,1.05395e+08
10,579217
11,2.40301e+07
12,3.34444e+07
13,2.70131e+06
14,4.40968e+07
15,5.75157e+07
16,2.53301e+07
17,1.44839e+07
18,2.94265e+06
19,4.80248e+06
20,7.43611e+06
21,7.17023e+06
22,4.62996e+06
23,1.78027e+06
24,4.46199e+06
25,4.90614e+06
26,2.84717e+06
27,9.7779e+06
28,8.26943e+06
29,6.46571e+06
30,4.7929e+06
31,1.92879e+06
32,4.29438e+06
33,5.18352e+06
34,3.86252e+06
35,5.98682e+06
36,7.53991e+06
37,8.10982e+06
38,5.458e+06
39,2.08039e+06
40,5.18714e+06
41,4.08657e+06
42,1.60895e+06
43,2.21745e+06
44,865710
45,1.80214e+06
46,647479
47,2.83112e+06
48,958795
49,1.90912e+06
50,829850
51,641987
52,1.95701e+06
53,578314
54,1.84208e+06
55,459622
56,463041
57,535238
58,237661
59,262074
60,798256
61,925735
62,555852
63,639110
64,407034
65,1.20711e+06
66,702496
67,852224
68,717401
69,1.06008e+06
70,929078
71,1.31934e+06
72,1.29584e+06
73,510228
74,996461
75,728548
76,387790
77,454570
78,518393
79,911466
80,315025
81,665019
82,641258
83,494913
84,354394
85,396694
86,565564
87,426467
88,409404
89,431221
90,451534
91,253347
92,290106
93,352761
94,233215
95,247329
96,626823
97,148426
98,155228
99,332351
