Autovector,Error
0,0.0522307
1,0.100031
2,304.861
3,433.264
4,13.6031
5,0.223411
6,1326.28
7,1791.59
8,1.81506e+07
9,2.05828e+07
10,176.243
11,21929.3
12,216768
13,210152
14,380146
15,532734
16,790244
17,790158
18,6251.98
19,15094
20,2.33974e+06
21,2.35417e+06
22,251063
23,16405.1
24,1.12924e+06
25,1.49698e+06
26,914869
27,520098
28,1.58454e+06
29,82291
30,172000
31,118121
32,184644
33,907350
34,3.28203e+06
35,2.73383e+06
36,566090
37,24181
38,83529.9
39,399621
40,553047
41,466643
42,614621
43,381764
44,937704
45,46348.3
46,427773
47,797445
48,304602
49,202110
50,83224.1
51,132178
52,50033.6
53,63240.6
54,36794.8
55,60192.7
56,26312.2
57,32297.3
58,26911.8
59,23169.7
60,174959
61,247105
62,185460
63,146903
64,124480
65,238335
66,208836
67,116757
68,146216
69,180334
70,185936
71,185022
72,55804.7
73,94207.4
74,109541
75,163290
76,150997
77,123697
78,147191
79,36226.1
80,77533.4
81,123150
82,62331.6
83,104056
84,85364.4
85,95701.1
86,175750
87,139943
88,99379.9
89,212529
90,55300.2
91,60729.5
92,94737.3
93,64000
94,106620
95,36733
96,61874.3
97,123616
98,7657.37
99,22318.2
