Autovector,Error
0,4.90747e-18
1,2.556e-18
2,7.88328e-19
3,1.95439e-18
4,6.59104e-19
5,2.74659e-19
6,1.60238e-18
7,3.83157e-19
8,2.32106e-19
9,1.22921e-18
10,1.61699e-18
11,4.81013e-18
12,2.89337e-19
13,8.98518e-19
14,4.89626e-18
15,5.05711e-08
16,5.27196e-08
17,9.94348e-18
18,3.93271e-18
19,2.11271e-18
20,1.41707e-16
21,2.04917e-14
22,2.18243e-14
23,8.62256e-19
24,4.18204e-07
25,26.86
26,27.1353
27,9.85173e-10
28,1.04339e-09
29,1.35001e-14
30,1.4482e-14
31,7.19693e-18
32,5.42683e-07
33,5.65078e-07
34,4.62378e-05
35,4.81481e-05
36,1.57658e-09
37,3.63073e-18
38,1654.48
39,1668.57
40,1.57606e-15
41,4.67406e-11
42,6.48353e-07
43,6.71775e-07
44,0.00379767
45,0.00385482
46,5.46391
47,5.48196
48,6.5068
49,6.58481
50,9.61699e-11
51,9.96365e-11
52,2.04744e-13
53,4.05832e-08
54,1.13392
55,1.15209
56,0.222754
57,0.227365
58,2.54753e-11
59,2.15395e-05
60,2.22838e-05
61,5.96296e-08
62,2.01278
63,2.0461
64,0.0200587
65,0.0159458
66,0.000395089
67,0.000404001
68,2.56296e-08
69,53.8382
70,54.0558
71,0.00224406
72,0.735043
73,0.861976
74,0.132912
75,0.735043
76,0.132912
77,8.01758e-08
78,0.000107358
79,3.83286
80,4.54172
81,0.678048
82,0.00031931
83,7.93224e-05
84,7.4597e-05
85,12.223
86,12.3174
87,0.000158941
88,0.000161361
89,0.0509235
90,0.182478
91,0.133439
92,0.000627641
93,0.0207834
94,0.0316334
95,0.0731934
96,0.0632299
97,0.000246981
98,1.56189
99,1.60128
