Autovector,Error
0,1.49463e+08
1,2.85176e+08
2,5.86022e+09
3,5.48061e+09
4,9.01861e+08
5,1.66774e+08
6,4.13615e+08
7,5.75227e+08
8,1.00403e+08
9,7.22308e+07
10,2.44363e+08
11,4.42643e+08
12,1.48154e+08
13,1.20235e+08
14,6.85703e+07
15,1.08171e+08
16,1.42587e+08
17,1.0571e+08
18,1.16135e+08
19,9.41846e+07
20,4.02858e+07
21,1.30023e+08
22,8.1474e+07
23,1.01145e+08
24,5.27084e+07
25,1.77097e+07
26,3.74219e+07
27,3.53818e+07
28,4.0206e+07
29,2.74042e+07
30,2.72877e+07
31,2.61596e+07
32,3.23434e+07
33,1.50108e+07
34,1.7321e+07
35,1.43402e+07
36,2.26224e+07
37,5.97455e+07
38,2.08003e+07
39,1.1282e+07
40,1.79973e+07
41,1.93038e+07
42,4.71387e+07
43,1.40257e+07
44,9.89689e+06
45,1.01958e+07
46,1.31711e+07
47,1.21657e+07
48,8.88678e+06
49,1.56925e+07
50,1.39894e+07
51,1.398e+07
52,9.26123e+06
53,2.25444e+07
54,8.49747e+06
55,1.08201e+07
56,7.78647e+06
57,8.38273e+06
58,9.09309e+06
59,1.53338e+07
60,6.85843e+06
61,7.22952e+06
62,1.43763e+07
63,6.14001e+06
64,9.29189e+06
65,5.50774e+06
66,6.22735e+06
67,9.03163e+06
68,6.18059e+06
69,3.92529e+06
70,6.5903e+06
71,3.66159e+06
72,5.80238e+06
73,4.90758e+06
74,2.83612e+06
75,3.65396e+06
76,4.49601e+06
77,4.33178e+06
78,5.68091e+06
79,3.82898e+06
80,3.20681e+06
81,3.20838e+06
82,2.09548e+06
83,2.06343e+06
84,3.65952e+06
85,3.78987e+06
86,2.81878e+06
87,2.3082e+06
88,1.96166e+06
89,2.3267e+06
90,3.15592e+06
91,3.46486e+06
92,2.54453e+06
93,2.53701e+06
94,2.41793e+06
95,3.54831e+06
96,2.14788e+06
97,3.63165e+06
98,1.54848e+06
99,3.1344e+06
