Autovector, error
0,0.00226416
1,0.00433627
2,343.356
3,479.946
4,3.45298
5,0.648511
6,10981.9
7,14756.3
8,1.05447e+07
9,1.19964e+07
10,9793.55
11,1.61794e+06
12,3.3146e+06
13,1.32921e+06
14,67777.1
15,1.88331e+06
16,1.78692e+06
17,143148
18,20448.5
19,43425.2
20,93670.7
21,3.26622e+06
22,3.25503e+06
23,17973.4
24,20681.4
25,46915.5
26,316551
27,246480
28,266212
29,1.59945e+06
30,1.28135e+06
31,349230
32,1.18982e+06
33,508365
34,1.18176e+06
35,1.51331e+06
36,1.17549e+06
37,223271
38,250173
39,778540
40,776133
41,299243
42,387028
43,80565
44,50589.9
45,68423.7
46,337515
47,354900
48,525404
49,47146.7
50,298004
51,321204
52,92367.8
53,20508.7
54,171868
55,69424.7
56,187326
57,91829.5
58,226051
59,163081
60,81209.6
61,220269
62,139355
63,305378
64,89834.5
65,64993.1
66,69187.8
67,201893
68,256331
69,43899.5
70,31428.3
71,114545
72,86367.3
73,100162
74,30824.8
75,123040
76,79265.6
77,247112
78,165649
79,47687.1
80,87662.5
81,96505.1
82,94678.3
83,73728
84,80750.8
85,122729
86,65158.8
87,44154.8
88,107442
89,64215.6
90,48899.5
91,126616
92,74582.2
93,82258.3
94,87355.9
95,61299.3
96,210877
97,119483
98,69501.7
99,37950.3
