Autovector,Error
0,71353.1
1,136654
2,876304
3,1.25958e+06
4,67243.9
5,32934
6,2.76837e+08
7,3.43713e+08
8,1.04011e+08
9,9.62502e+07
10,1.52786e+07
11,3.37534e+07
12,1.8844e+07
13,1.80232e+07
14,1.37216e+07
15,1.16771e+06
16,1.41117e+07
17,4.74077e+06
18,1.29516e+06
19,218836
20,1.81274e+06
21,1.14194e+06
22,3.03003e+06
23,1.59806e+06
24,1.39765e+06
25,2.87855e+06
26,1.31819e+07
27,5.84199e+06
28,7.15534e+06
29,8.44084e+06
30,1.6499e+07
31,1.29558e+07
32,2.17548e+06
33,1.9991e+07
34,1.43584e+07
35,7.39378e+06
36,9.30905e+06
37,7.95358e+06
38,6.38546e+06
39,456896
40,4.45295e+06
41,677340
42,6.4587e+06
43,1.5341e+06
44,675999
45,720178
46,2.15734e+06
47,979711
48,1.147e+06
49,2.54897e+06
50,2.84584e+06
51,1.54774e+06
52,1.56411e+06
53,998596
54,783014
55,907568
56,764098
57,739659
58,692072
59,409691
60,1.24158e+06
61,1.57221e+06
62,868782
63,1.1723e+06
64,1.36308e+06
65,697041
66,703170
67,571001
68,852474
69,269571
70,482571
71,610293
72,804668
73,334102
74,374157
75,391771
76,446480
77,307610
78,560642
79,381890
80,260352
81,438912
82,569167
83,524151
84,512799
85,403968
86,470817
87,259358
88,601942
89,568928
90,184544
91,557454
92,278058
93,529794
94,218894
95,354803
96,172093
97,291631
98,434478
99,423673
