Autovector,Error
0,5.03293e-18
1,2.57709e-18
2,9.24236e-19
3,4.3992e-18
4,8.49648e-19
5,2.64481e-19
6,1.86316e-18
7,3.89048e-19
8,8.05609e-08
9,9.24822e-08
10,1.95621e-18
11,4.55159e-18
12,2.95975e-07
13,3.27545e-07
14,2.9556e-15
15,0.0578491
16,0.0603069
17,1.29883e-11
18,7.18025e-07
19,8.29303e-07
20,7.01571e-05
21,0.0196574
22,0.0210053
23,5.76992e-11
24,17.0707
25,38477.7
26,38623.7
27,0.588342
28,0.623
29,0.0050592
30,0.00546535
31,4.21825e-05
32,199.77
33,208.07
34,5.27676
35,6.25119
36,0.881986
37,1.42219e-07
38,48.3561
39,48.7949
40,0.00033148
41,1.21804
42,2.98751
43,1.76295
44,1538.49
45,1560.96
46,1162.9
47,1163.49
48,0.057008
49,0.088422
50,807.374
51,843.449
52,0.00223406
53,0.692666
54,890.737
55,4120.68
56,4528.63
57,1272.94
58,18.4216
59,27.0751
60,7.94383
61,0.0612188
62,89.0213
63,91.366
64,23.0387
65,22.3882
66,42.6863
67,43.8133
68,8.39613
69,5.83436
70,51.507
71,50.5958
72,135.388
73,3940.93
74,4147.47
75,903.89
76,427.232
77,1.54455
78,59.4213
79,2895.32
80,2789.7
81,62.6644
82,4.30983
83,0.280189
84,22.214
85,71.6638
86,55.394
87,803.707
88,840.473
89,108.809
90,3025.27
91,3849.67
92,969.373
93,68.1965
94,84.3527
95,469.326
96,460.407
97,1.95548
98,468.561
99,585.633
